date,close,volume,open,high,low
14/10/2020,121.190002,150712000,121,123.029999,119.620003
15/10/2020,120.709999,112559200,118.720001,121.199997,118.150002
16/10/2020,119.019997,115393800,121.279999,121.550003,118.809998
19/10/2020,115.980003,120639300,119.959999,120.419998,115.660004
20/10/2020,117.510002,124423700,116.199997,118.980003,115.629997
21/10/2020,116.870003,89946000,116.669998,118.709999,116.449997
22/10/2020,115.75,101988000,117.449997,118.040001,114.589996
23/10/2020,115.040001,82572600,116.389999,116.550003,114.279999
26/10/2020,115.050003,111850700,114.010002,116.550003,112.879997
27/10/2020,116.599998,92276800,115.489998,117.279999,114.540001
28/10/2020,111.199997,143937800,115.050003,115.43,111.099998
29/10/2020,115.32,146129200,112.370003,116.93,112.199997
30/10/2020,108.860001,190272600,111.059998,111.989998,107.720001
02/11/2020,108.769997,122866900,109.110001,110.68,107.32
03/11/2020,110.440002,107624400,109.660004,111.489998,108.730003
04/11/2020,114.949997,138235500,114.139999,115.589996,112.349998
05/11/2020,119.029999,126387100,117.949997,119.620003,116.870003
06/11/2020,118.690002,114457900,118.32,119.199997,116.129997
09/11/2020,116.32,154515300,120.5,121.989998,116.050003
10/11/2020,115.970001,138023400,115.550003,117.589996,114.129997
11/11/2020,119.489998,112295000,117.190002,119.629997,116.440002
12/11/2020,119.209999,103162300,119.620003,120.529999,118.57
13/11/2020,119.260002,81581900,119.440002,119.669998,117.870003
16/11/2020,120.300003,91183000,118.919998,120.989998,118.150002
17/11/2020,119.389999,74271000,119.550003,120.669998,118.959999
18/11/2020,118.029999,76322100,118.610001,119.82,118
19/11/2020,118.639999,74113000,117.589996,119.059998,116.809998
20/11/2020,117.339996,73604300,118.639999,118.769997,117.290001
23/11/2020,113.849998,127959300,117.18,117.620003,113.75
24/11/2020,115.169998,113874200,113.910004,115.849998,112.589996
25/11/2020,116.029999,76499200,115.550003,116.75,115.169998
27/11/2020,116.589996,46691300,116.57,117.489998,116.220001
30/11/2020,119.050003,169410200,116.970001,120.970001,116.809998
01/12/2020,122.720001,127728200,121.010002,123.470001,120.010002
02/12/2020,123.080002,89004200,122.019997,123.370003,120.889999
03/12/2020,122.940002,78967600,123.519997,123.779999,122.209999
04/12/2020,122.25,78260400,122.599998,122.860001,121.519997
07/12/2020,123.75,86712000,122.309998,124.57,122.25
08/12/2020,124.379997,82225500,124.370003,124.980003,123.089996
09/12/2020,121.779999,115089200,124.529999,125.949997,121
10/12/2020,123.239998,81312200,120.5,123.870003,120.150002
11/12/2020,122.410004,86939800,122.43,122.760002,120.550003
14/12/2020,121.779999,79184500,122.599998,123.349998,121.540001
15/12/2020,127.879997,157243700,124.339996,127.900002,124.129997
16/12/2020,127.809998,98208600,127.410004,128.369995,126.559998
17/12/2020,128.699997,94359800,128.899994,129.580002,128.039993
18/12/2020,126.660004,192541500,128.960007,129.100006,126.120003
21/12/2020,128.229996,121251600,125.019997,128.309998,123.449997
22/12/2020,131.880005,168904800,131.610001,134.410004,129.649994
23/12/2020,130.960007,88223700,132.160004,132.429993,130.779999
24/12/2020,131.970001,54930100,131.320007,133.460007,131.100006
28/12/2020,136.690002,124486200,133.990005,137.339996,133.509995
29/12/2020,134.869995,121047300,138.050003,138.789993,134.339996
